/Users/john/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
============================================================
FINDY — Procesador FINAL v5 (vectorizado)
============================================================

📂 2013 archivos encontrados

⚙️  Leyendo archivos...
  [126/2013] ✅ 100k (1).xlsx: 50,000 filas (acum: 1,502,356)
  [127/2013] ✅ 100k.xlsx: 50,000 filas (acum: 1,552,356)
  [128/2013] ✅ 105k con cuenta.xlsx: 50,000 filas (acum: 1,602,356)
  [129/2013] ✅ 106K ENERGIA DUAL CON CUENTA.xlsx: 49,127 filas (acum: 1,651,483)
  [130/2013] ✅ 108k.xlsx: 50,000 filas (acum: 1,701,483)
  [131/2013] ✅ 109K ENERGIA RECLAMOS.xlsx: 50,000 filas (acum: 1,751,483)
  [132/2013] ✅ 109K ENERGIA.xlsx: 50,000 filas (acum: 1,801,483)
  [133/2013] ✅ 109k (1).xlsx: 50,000 filas (acum: 1,851,483)
  [134/2013] ✅ 109k.xlsx: 50,000 filas (acum: 1,901,483)
  [135/2013] ✅ 10K GAS Y LUZ.xlsx: 10,735 filas (acum: 1,912,218)
  [136/2013] ✅ 10k (1).xlsx: 9,999 filas (acum: 1,922,217)
  [137/2013] ✅ 10k (2).xlsx: 10,271 filas (acum: 1,932,488)
  [138/2013] ✅ 10k (3).xlsx: 10,271 filas (acum: 1,942,759)
  [140/2013] ✅ 10k duales.xlsx: 10,005 filas (acum: 1,952,764)
  [141/2013] ✅ 10k.xlsx: 9,999 filas (acum: 1,962,763)
  [142/2013] ✅ 10kjhon.xlsx: 10,057 filas (acum: 1,972,820)
  [143/2013] ✅ 10kmuestra3.xlsx: 10,134 filas (acum: 1,982,954)
  [144/2013] ✅ 110K LIZ SIN CARGAR.xlsx: 49,999 filas (acum: 2,032,953)
  [145/2013] ✅ 111K ANGEL_limpio.xlsx: 50,000 filas (acum: 2,082,953)
  [146/2013] ✅ 111K ENERGIA.xlsx: 50,000 filas (acum: 2,132,953)
  [147/2013] ✅ 113K.xlsx: 50,000 filas (acum: 2,182,953)
  [148/2013] ✅ 119.421k.xlsx: 50,000 filas (acum: 2,232,953)
  [149/2013] ✅ 12000(CARGADA).xlsx: 11,805 filas (acum: 2,244,758)
  [150/2013] ✅ 120K 15 NOV.xlsx: 31,726 filas (acum: 2,276,484)
  [151/2013] ✅ 125k POR CARGAR PARA POWER 03-09-25.xlsx: 50,000 filas (acum: 2,326,484)
  [152/2013] ✅ 13,7.K(CARGADA).xlsx: 13,760 filas (acum: 2,340,244)
  [153/2013] ✅ 130k_john_281024.xlsx: 50,000 filas (acum: 2,390,244)
  [155/2013] ✅ 14000(CARGADA).xlsx: 13,901 filas (acum: 2,404,145)
  [156/2013] ✅ 140K ENERGIA.xlsx: 50,000 filas (acum: 2,454,145)
  [157/2013] ✅ 140k POR CARGAR PARA POWER 28-07-25.xlsx: 50,000 filas (acum: 2,504,145)
  [158/2013] ✅ 145k POR CARGAR PARA POWER.xlsx: 50,000 filas (acum: 2,554,145)
  [159/2013] ✅ 15.k(CARGADO).xlsx: 14,925 filas (acum: 2,569,070)
  [160/2013] ✅ 150K SIN CARGAR.xlsx: 50,000 filas (acum: 2,619,070)
  [162/2013] ✅ 150kJUN18.xlsx: 50,000 filas (acum: 2,669,070)
  [163/2013] ✅ 155k POR CARGAR PARA POWER.xlsx: 50,000 filas (acum: 2,719,070)
  [164/2013] ✅ 159K OCT - 23.xlsx: 47,460 filas (acum: 2,766,530)
  [165/2013] ✅ 15k bbdd powerbrands 20-03-25 parte 2.xlsx: 15,000 filas (acum: 2,781,530)
  [166/2013] ✅ 160k POR CARGAR PARA POWER.xlsx: 50,000 filas (acum: 2,831,530)
  [167/2013] ✅ 17200 CARGADA.xlsx: 17,199 filas (acum: 2,848,729)
  [168/2013] ✅ 178K ENERGIA 23-10.xlsx: 50,000 filas (acum: 2,898,729)
  [169/2013] ✅ 178K ENERGIA RECLAMOS.xlsx: 50,000 filas (acum: 2,948,729)
  [170/2013] ✅ 180K.xlsx: 50,000 filas (acum: 2,998,729)
  [171/2013] ✅ 1900(CARGADA).xlsx: 1,960 filas (acum: 3,000,689)
  [173/2013] ✅ 192k.xlsx: 50,000 filas (acum: 3,050,689)
  [174/2013] ✅ 19K ENERGIA 31.01 (1).xlsx: 19,475 filas (acum: 3,070,164)
  [175/2013] ✅ 19k 25102022.xlsx: 19,000 filas (acum: 3,089,164)
  [176/2013] ✅ 1Q.02 ENERGY GOLD (1).xlsx: 281 filas (acum: 3,089,445)
  [177/2013] ✅ 1Q.02 ENERGY GOLD.xlsx: 281 filas (acum: 3,089,726)
  [178/2013] ✅ 1Qº DIC. ENERGY GOLD.xlsx: 66 filas (acum: 3,089,792)
  [181/2013] ✅ 20000 1 (1).xlsx: 20,000 filas (acum: 3,109,792)
  [182/2013] ✅ 20000 1.xlsx: 20,000 filas (acum: 3,129,792)
  [183/2013] ✅ 200K (1).xlsx: 50,000 filas (acum: 3,179,792)
  [184/2013] ✅ 200K (2).xlsx: 50,000 filas (acum: 3,229,792)
  [185/2013] ✅ 200K (4).xlsx: 50,000 filas (acum: 3,279,792)
  [186/2013] ✅ 200K JHON.xlsx: 50,000 filas (acum: 3,329,792)
  [187/2013] ✅ 200K-1.xlsx: 50,000 filas (acum: 3,379,792)
  [188/2013] ✅ 200K.xlsx: 50,000 filas (acum: 3,429,792)
  [189/2013] ✅ 20240911_ventasKAIZEN.xlsx: 3,770 filas (acum: 3,433,562)
  [190/2013] ✅ 20240913_ventasSILVANERGIA_SL_ENGEL.xlsx: 7,993 filas (acum: 3,441,555)
  [191/2013] ✅ 20240925_ventasENGELCENTER03.xlsx: 7,993 filas (acum: 3,449,548)
  [192/2013] ✅ 20241015_ENGELCENTER02.xlsx: 89 filas (acum: 3,449,637)
  [193/2013] ✅ 20241015_ventasENGELCENTER04.xlsx: 2,163 filas (acum: 3,451,800)
  [194/2013] ✅ 20241015_ventasENGELCENTER05.xlsx: 733 filas (acum: 3,452,533)
  [195/2013] ✅ 20241016_ventasENGELCENTER03.xlsx: 1,866 filas (acum: 3,454,399)
  [196/2013] ✅ 20241016_ventasENGELCENTER04.xlsx: 2,119 filas (acum: 3,456,518)
  [197/2013] ✅ 20241025_ENGELCENTER02.xlsx: 171 filas (acum: 3,456,689)
  [200/2013] ✅ 209K ENERGIA RECLAMOS.xlsx: 50,000 filas (acum: 3,506,689)
  [202/2013] ✅ 20K SIN CARGAR.xlsx: 20,003 filas (acum: 3,526,692)
  [203/2013] ✅ 20k energia.xlsx: 19,999 filas (acum: 3,546,691)
  [204/2013] ✅ 20k energia2.xlsx: 20,250 filas (acum: 3,566,941)
  [205/2013] ✅ 20k.. (1).xlsx: 20,000 filas (acum: 3,586,941)
  [206/2013] ✅ 20k...xlsx: 20,000 filas (acum: 3,606,941)
  [207/2013] ✅ 20k.xlsx: 20,000 filas (acum: 3,626,941)
  [208/2013] ✅ 21K.xlsx: 21,399 filas (acum: 3,648,340)
  [209/2013] ✅ 23 - OCT - 183K ENERGIA.xlsx: 50,000 filas (acum: 3,698,340)
  [210/2013] ✅ 230K ENERGIA RECLAMOS.xlsx: 50,000 filas (acum: 3,748,340)
  [211/2013] ✅ 232K ALEX.xlsx: 50,000 filas (acum: 3,798,340)
  [214/2013] ✅ 242200 clientes.xlsx: 50,000 filas (acum: 3,848,340)
  [215/2013] ✅ 250K ENERGIA AAAAAAAA RECLAMOS.xlsx: 50,000 filas (acum: 3,898,340)
  [216/2013] ✅ 29.12.2023 ..xlsx: 1,736 filas (acum: 3,900,076)
  [218/2013] ✅ 2Q.01 ENERGY GOLD.xlsx: 28 filas (acum: 3,900,104)
  [219/2013] ✅ 2k.xlsx: 2,158 filas (acum: 3,902,262)
  [220/2013] ✅ 30,7.K(CARGADO).xlsx: 30,734 filas (acum: 3,932,996)
  [222/2013] ✅ 30k john.xls: 29,998 filas (acum: 3,962,994)
  [223/2013] ✅ 34,13k(CARGADO).xlsx: 34,128 filas (acum: 3,997,122)
  [224/2013] ✅ 34.k(CARGADO).xlsx: 34,128 filas (acum: 4,031,250)
  [225/2013] ✅ 3500 K 20112024.xlsx: 3,500 filas (acum: 4,034,750)
  [226/2013] ✅ 37k con cuenta.xlsx: 30,343 filas (acum: 4,065,093)
  [227/2013] ✅ 37k junio.xlsx: 37,925 filas (acum: 4,103,018)
  [228/2013] ✅ 38.k(CARGADO).xlsx: 38,241 filas (acum: 4,141,259)
  [229/2013] ✅ 3k (1).xlsx: 3,000 filas (acum: 4,144,259)
  [230/2013] ✅ 3k (2).xlsx: 3,000 filas (acum: 4,147,259)
  [231/2013] ✅ 3k (3).xlsx: 3,000 filas (acum: 4,150,259)
  [232/2013] ✅ 3k.xlsx: 3,000 filas (acum: 4,153,259)
  [233/2013] ✅ 40.xlsx: 40,890 filas (acum: 4,194,149)
  [234/2013] ✅ 40k (1).xlsx: 16,800 filas (acum: 4,210,949)
  [235/2013] ✅ 40k.xlsx: 16,800 filas (acum: 4,227,749)
  [236/2013] ✅ 4100(cargada).xlsx: 4,113 filas (acum: 4,231,862)
  [237/2013] ✅ 49100(CARGADA).xlsx: 49,099 filas (acum: 4,280,961)
  [239/2013] ✅ 500CLIENTES PHONE HOUSE 15-09-25 PARTE 2.xlsx: 499 filas (acum: 4,281,460)
  [240/2013] ✅ 500leadsprueba.xlsx: 531 filas (acum: 4,281,991)
  [241/2013] ✅ 50K -191124.xlsx: 50,000 filas (acum: 4,331,991)
  [242/2013] ✅ 50K 2904.xlsx: 50,000 filas (acum: 4,381,991)
  [243/2013] ✅ 50K ANGEL 18-06.xls: 49,999 filas (acum: 4,431,990)
  [244/2013] ✅ 50K BBDD 06_06 (1).xlsx: 50,000 filas (acum: 4,481,990)
  [245/2013] ✅ 50K BBDD 06_06.xlsx: 50,000 filas (acum: 4,531,990)
  [246/2013] ✅ 50K ENERGIA.xlsx: 50,000 filas (acum: 4,581,990)
  [247/2013] ✅ 50K II (1).xlsx: 50,000 filas (acum: 4,631,990)
  [248/2013] ✅ 50K II.xlsx: 50,000 filas (acum: 4,681,990)
  [249/2013] ✅ 50K IV.xlsx: 50,000 filas (acum: 4,731,990)
  [250/2013] ✅ 50K V.xlsx: 50,000 filas (acum: 4,781,990)
  [251/2013] ✅ 50K218dic.xlsx: 50,000 filas (acum: 4,831,990)
  [252/2013] ✅ 50KJORGEH FALTA.xlsx: 25,878 filas (acum: 4,857,868)
  [253/2013] ✅ 50k (4TOLOTE).xlsx: 50,000 filas (acum: 4,907,868)
  [255/2013] ✅ 50k 20032024.xlsx: 49,965 filas (acum: 4,957,833)
  [256/2013] ✅ 50k 218dic.xlsx: 50,000 filas (acum: 5,007,833)
  [258/2013] ✅ 50k III.xlsx: 42,416 filas (acum: 5,050,249)
  [259/2013] ✅ 50k con cuenta.xlsx: 50,000 filas (acum: 5,100,249)
  [260/2013] ✅ 50k duales Cat(1) (1).xlsx: 49,861 filas (acum: 5,150,110)
  [261/2013] ✅ 50k duales Cat(1).xlsx: 49,861 filas (acum: 5,199,971)
  [262/2013] ✅ 50k para cargar base angel.xlsx: 49,999 filas (acum: 5,249,970)
  [263/2013] ✅ 50k telecomunicaciones.xlsx: 39,439 filas (acum: 5,289,409)
  [264/2013] ✅ 50k.xlsx: 50,000 filas (acum: 5,339,409)
  [265/2013] ✅ 50kJHON.xlsx: 50,000 filas (acum: 5,389,409)
  [266/2013] ✅ 50k_2511_bcn.xlsx: 50,000 filas (acum: 5,439,409)
  [267/2013] ✅ 54K.xlsx: 50,000 filas (acum: 5,489,409)
  [268/2013] ✅ 55K ENERGIA DUAL CON CUENTA POR CARGAR BASE BUENA.xlsx: 49,505 filas (acum: 5,538,914)
  [269/2013] ✅ 55k para cargar base angel.xlsx: 49,999 filas (acum: 5,588,913)
  [270/2013] ✅ 56k ENERGIA.xlsx: 50,000 filas (acum: 5,638,913)
  [271/2013] ✅ 59.814K (1).xlsx: 50,000 filas (acum: 5,688,913)
  [272/2013] ✅ 59.814K.xlsx: 50,000 filas (acum: 5,738,913)
  [273/2013] ✅ 59k_findeoctubre.xlsx: 50,000 filas (acum: 5,788,913)
