============================================================
PASO 1: Leer Excel → CSV sin dedup
============================================================

📂 2013 archivos
  [120/2013] ✅ 1000.(3).xlsx: 1,000 filas (total: 1,352,799)
  [121/2013] ✅ 1000k.xlsx: 999 filas (total: 1,353,798)
  [123/2013] ✅ 100K ENERGIA.xlsx: 50,000 filas (total: 1,403,798)
  [125/2013] ✅ 100K LIZ SIN CARGAR.xlsx: 49,999 filas (total: 1,453,797)
  [126/2013] ✅ 100k (1).xlsx: 50,000 filas (total: 1,503,797)
  [127/2013] ✅ 100k.xlsx: 50,000 filas (total: 1,553,797)
  [128/2013] ✅ 105k con cuenta.xlsx: 50,000 filas (total: 1,603,797)
  [129/2013] ✅ 106K ENERGIA DUAL CON CUENTA.xlsx: 50,000 filas (total: 1,653,797)
  [130/2013] ✅ 108k.xlsx: 50,000 filas (total: 1,703,797)
  [131/2013] ✅ 109K ENERGIA RECLAMOS.xlsx: 50,000 filas (total: 1,753,797)
  [132/2013] ✅ 109K ENERGIA.xlsx: 50,000 filas (total: 1,803,797)
  [133/2013] ✅ 109k (1).xlsx: 50,000 filas (total: 1,853,797)
  [134/2013] ✅ 109k.xlsx: 50,000 filas (total: 1,903,797)
  [135/2013] ✅ 10K GAS Y LUZ.xlsx: 10,735 filas (total: 1,914,532)
  [136/2013] ✅ 10k (1).xlsx: 9,999 filas (total: 1,924,531)
  [137/2013] ✅ 10k (2).xlsx: 10,271 filas (total: 1,934,802)
  [138/2013] ✅ 10k (3).xlsx: 10,271 filas (total: 1,945,073)
  [140/2013] ✅ 10k duales.xlsx: 10,005 filas (total: 1,955,078)
  [141/2013] ✅ 10k.xlsx: 9,999 filas (total: 1,965,077)
  [142/2013] ✅ 10kjhon.xlsx: 10,057 filas (total: 1,975,134)
  [143/2013] ✅ 10kmuestra3.xlsx: 10,134 filas (total: 1,985,268)
  [144/2013] ✅ 110K LIZ SIN CARGAR.xlsx: 49,999 filas (total: 2,035,267)
  [145/2013] ✅ 111K ANGEL_limpio.xlsx: 50,000 filas (total: 2,085,267)
  [146/2013] ✅ 111K ENERGIA.xlsx: 50,000 filas (total: 2,135,267)
  [147/2013] ✅ 113K.xlsx: 50,000 filas (total: 2,185,267)
  [148/2013] ✅ 119.421k.xlsx: 50,000 filas (total: 2,235,267)
  [149/2013] ✅ 12000(CARGADA).xlsx: 11,805 filas (total: 2,247,072)
  [150/2013] ✅ 120K 15 NOV.xlsx: 31,726 filas (total: 2,278,798)
  [151/2013] ✅ 125k POR CARGAR PARA POWER 03-09-25.xlsx: 50,000 filas (total: 2,328,798)
  [152/2013] ✅ 13,7.K(CARGADA).xlsx: 13,760 filas (total: 2,342,558)
  [153/2013] ✅ 130k_john_281024.xlsx: 50,000 filas (total: 2,392,558)
  [155/2013] ✅ 14000(CARGADA).xlsx: 13,901 filas (total: 2,406,459)
  [156/2013] ✅ 140K ENERGIA.xlsx: 50,000 filas (total: 2,456,459)
  [157/2013] ✅ 140k POR CARGAR PARA POWER 28-07-25.xlsx: 50,000 filas (total: 2,506,459)
  [158/2013] ✅ 145k POR CARGAR PARA POWER.xlsx: 50,000 filas (total: 2,556,459)
  [159/2013] ✅ 15.k(CARGADO).xlsx: 14,925 filas (total: 2,571,384)
  [160/2013] ✅ 150K SIN CARGAR.xlsx: 50,000 filas (total: 2,621,384)
  [162/2013] ✅ 150kJUN18.xlsx: 50,000 filas (total: 2,671,384)
  [163/2013] ✅ 155k POR CARGAR PARA POWER.xlsx: 50,000 filas (total: 2,721,384)
  [164/2013] ✅ 159K OCT - 23.xlsx: 50,000 filas (total: 2,771,384)
  [165/2013] ✅ 15k bbdd powerbrands 20-03-25 parte 2.xlsx: 15,000 filas (total: 2,786,384)
  [166/2013] ✅ 160k POR CARGAR PARA POWER.xlsx: 50,000 filas (total: 2,836,384)
  [167/2013] ✅ 17200 CARGADA.xlsx: 17,199 filas (total: 2,853,583)
  [168/2013] ✅ 178K ENERGIA 23-10.xlsx: 50,000 filas (total: 2,903,583)
  [169/2013] ✅ 178K ENERGIA RECLAMOS.xlsx: 50,000 filas (total: 2,953,583)
  [170/2013] ✅ 180K.xlsx: 50,000 filas (total: 3,003,583)
  [171/2013] ✅ 1900(CARGADA).xlsx: 1,960 filas (total: 3,005,543)
  [173/2013] ✅ 192k.xlsx: 50,000 filas (total: 3,055,543)
  [174/2013] ✅ 19K ENERGIA 31.01 (1).xlsx: 19,475 filas (total: 3,075,018)
  [175/2013] ✅ 19k 25102022.xlsx: 19,000 filas (total: 3,094,018)
  [176/2013] ✅ 1Q.02 ENERGY GOLD (1).xlsx: 281 filas (total: 3,094,299)
  [177/2013] ✅ 1Q.02 ENERGY GOLD.xlsx: 281 filas (total: 3,094,580)
  [178/2013] ✅ 1Qº DIC. ENERGY GOLD.xlsx: 66 filas (total: 3,094,646)
  [181/2013] ✅ 20000 1 (1).xlsx: 20,000 filas (total: 3,114,646)
  [182/2013] ✅ 20000 1.xlsx: 20,000 filas (total: 3,134,646)
  [183/2013] ✅ 200K (1).xlsx: 50,000 filas (total: 3,184,646)
  [184/2013] ✅ 200K (2).xlsx: 50,000 filas (total: 3,234,646)
