/Users/john/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
============================================================
PASO 3: Cargar a Supabase (10 workers × 500 registros)
============================================================

📊 7,325,758 filas en CSV
📤 Cargando...

  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 845 reg/s | ETA: 144 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 843 reg/s | ETA: 145 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 841 reg/s | ETA: 145 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 839 reg/s | ETA: 145 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 837 reg/s | ETA: 146 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 835 reg/s | ETA: 146 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 833 reg/s | ETA: 146 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 831 reg/s | ETA: 147 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 829 reg/s | ETA: 147 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 827 reg/s | ETA: 147 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 826 reg/s | ETA: 148 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 824 reg/s | ETA: 148 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 822 reg/s | ETA: 148 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 820 reg/s | ETA: 149 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 818 reg/s | ETA: 149 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 816 reg/s | ETA: 149 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 814 reg/s | ETA: 150 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 812 reg/s | ETA: 150 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 811 reg/s | ETA: 150 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 809 reg/s | ETA: 151 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 807 reg/s | ETA: 151 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 805 reg/s | ETA: 151 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 803 reg/s | ETA: 152 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 801 reg/s | ETA: 152 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 800 reg/s | ETA: 153 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 798 reg/s | ETA: 153 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 796 reg/s | ETA: 153 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 794 reg/s | ETA: 154 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 792 reg/s | ETA: 154 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 790 reg/s | ETA: 154 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 788 reg/s | ETA: 155 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 787 reg/s | ETA: 155 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 785 reg/s | ETA: 155 min
  📤 10,000/7,325,758 (0%) — 9,569 nuevos, 431 act, 0 err | 783 reg/s | ETA: 156 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 806 reg/s | ETA: 151 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 805 reg/s | ETA: 151 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 804 reg/s | ETA: 151 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 803 reg/s | ETA: 152 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 802 reg/s | ETA: 152 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 801 reg/s | ETA: 152 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 800 reg/s | ETA: 152 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 799 reg/s | ETA: 152 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 798 reg/s | ETA: 153 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 797 reg/s | ETA: 153 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 796 reg/s | ETA: 153 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 795 reg/s | ETA: 153 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 795 reg/s | ETA: 153 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 794 reg/s | ETA: 153 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 793 reg/s | ETA: 154 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 792 reg/s | ETA: 154 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 791 reg/s | ETA: 154 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 790 reg/s | ETA: 154 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 789 reg/s | ETA: 154 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 788 reg/s | ETA: 154 min
  📤 20,000/7,325,758 (0%) — 10,267 nuevos, 9,733 act, 0 err | 787 reg/s | ETA: 155 min
  📤 30,000/7,325,758 (0%) — 10,281 nuevos, 19,719 act, 0 err | 877 reg/s | ETA: 139 min
  📤 30,000/7,325,758 (0%) — 10,281 nuevos, 19,719 act, 0 err | 876 reg/s | ETA: 139 min
  📤 30,000/7,325,758 (0%) — 10,281 nuevos, 19,719 act, 0 err | 875 reg/s | ETA: 139 min
  📤 30,000/7,325,758 (0%) — 10,281 nuevos, 19,719 act, 0 err | 875 reg/s | ETA: 139 min
  📤 30,000/7,325,758 (0%) — 10,281 nuevos, 19,719 act, 0 err | 874 reg/s | ETA: 139 min
  📤 30,000/7,325,758 (0%) — 10,281 nuevos, 19,719 act, 0 err | 873 reg/s | ETA: 139 min
  📤 30,000/7,325,758 (0%) — 10,281 nuevos, 19,719 act, 0 err | 872 reg/s | ETA: 139 min
  📤 30,000/7,325,758 (0%) — 10,281 nuevos, 19,719 act, 0 err | 872 reg/s | ETA: 139 min
  📤 30,000/7,325,758 (0%) — 10,281 nuevos, 19,719 act, 0 err | 871 reg/s | ETA: 140 min
  📤 30,000/7,325,758 (0%) — 10,281 nuevos, 19,719 act, 0 err | 870 reg/s | ETA: 140 min
  📤 30,000/7,325,758 (0%) — 10,281 nuevos, 19,719 act, 0 err | 870 reg/s | ETA: 140 min
  📤 30,000/7,325,758 (0%) — 10,281 nuevos, 19,719 act, 0 err | 869 reg/s | ETA: 140 min
  📤 30,000/7,325,758 (0%) — 10,281 nuevos, 19,719 act, 0 err | 868 reg/s | ETA: 140 min
  📤 40,000/7,325,758 (1%) — 10,297 nuevos, 29,703 act, 0 err | 948 reg/s | ETA: 128 min
  📤 40,000/7,325,758 (1%) — 10,297 nuevos, 29,703 act, 0 err | 947 reg/s | ETA: 128 min
  📤 40,000/7,325,758 (1%) — 10,297 nuevos, 29,703 act, 0 err | 947 reg/s | ETA: 128 min
  📤 40,000/7,325,758 (1%) — 10,297 nuevos, 29,703 act, 0 err | 946 reg/s | ETA: 128 min
  📤 40,000/7,325,758 (1%) — 10,297 nuevos, 29,703 act, 0 err | 945 reg/s | ETA: 129 min
  📤 40,000/7,325,758 (1%) — 10,297 nuevos, 29,703 act, 0 err | 944 reg/s | ETA: 129 min
  📤 40,000/7,325,758 (1%) — 10,297 nuevos, 29,703 act, 0 err | 944 reg/s | ETA: 129 min
  📤 50,000/7,325,758 (1%) — 10,310 nuevos, 39,690 act, 0 err | 926 reg/s | ETA: 131 min
  📤 50,000/7,325,758 (1%) — 10,310 nuevos, 39,690 act, 0 err | 926 reg/s | ETA: 131 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 897 reg/s | ETA: 135 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 897 reg/s | ETA: 135 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 896 reg/s | ETA: 135 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 896 reg/s | ETA: 135 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 895 reg/s | ETA: 135 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 895 reg/s | ETA: 135 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 895 reg/s | ETA: 135 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 894 reg/s | ETA: 135 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 894 reg/s | ETA: 135 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 893 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 893 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 893 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 892 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 892 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 891 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 891 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 891 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 890 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 890 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 890 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 889 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 889 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 888 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 888 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 888 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 887 reg/s | ETA: 136 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 887 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 887 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 886 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 886 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 885 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 885 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 885 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 884 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 884 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 884 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 883 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 883 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 882 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 882 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 882 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 881 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 881 reg/s | ETA: 137 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 881 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 880 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 880 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 880 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 879 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 879 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 878 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 878 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 878 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 877 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 877 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 877 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 876 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 876 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 876 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 875 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 875 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 874 reg/s | ETA: 138 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 874 reg/s | ETA: 139 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 874 reg/s | ETA: 139 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 873 reg/s | ETA: 139 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 873 reg/s | ETA: 139 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 873 reg/s | ETA: 139 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 872 reg/s | ETA: 139 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 872 reg/s | ETA: 139 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 871 reg/s | ETA: 139 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 871 reg/s | ETA: 139 min
